handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_fea92dbc-1c0c-5cd7-5c2e-049b500db292,Product,Mango & Pineapple Cream,"<p>Our very popular Vegan Mango &amp; Pineapple Cream&nbsp;not only smells tropical and sweet; it is light, creamy, and highly moisturising. Enriched with Mango Butter and Vitamin E. The high vitamin content protects the skin against harsh environmental damage. This butter conditions and nourishes leaving skin supple and glowing!<br><br>Please note that the product may vary from texture shown in the picture as each item is handcrafted in small batches.</p><p>&nbsp;</p><p>Store somewhere cool and dry, this product is for external use only.<br>&nbsp;</p>",a26d7a_186df432a3c74559910a6df4e808b5c4~mv2.jpg;a26d7a_e7d28bdf1c684647bb8d59902a176656~mv2.jpg;a26d7a_138a1e709b1c47e78130ae85a726520a~mv2.jpg;a26d7a_06d0c578af0c4b8090acb395cd410e54~mv2.jpg,Best Sellers;BODY BUTTER,,,12.5,,true,PERCENT,0.0,0,0.0,Size,DROP_DOWN,120ml;500ml,,,,,,,,,,,,,,,,Ingredients,"<p>Butyrospermum Parkii (Shea Butter), Vitamin E Oil, Ananas Sativus (Pineapple Fragrance)</p>
",Directions for use,"<p>After a shower or bath pat skin dry with a towel. Rub the cream between your palms and apply to skin.</p>

<p><br>
<br>
&nbsp;</p>
",,,,,,,,,,,,,,
product_fea92dbc-1c0c-5cd7-5c2e-049b500db292,Variant,,,,,,,,0.0,true,,,10,,,,120ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fea92dbc-1c0c-5cd7-5c2e-049b500db292,Variant,,,,,,,,17.49,true,,,0,,,,500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_58b01707-d209-a73b-fa0b-8cf61adbfb1a,Product,Universal Hair & Body Butter,"<p><strong>100% Vegan, Organic, Cruelty-Free</strong></p><p>&nbsp;</p><p>Our Universal Hair &amp; Body Butter lives up to it's name! Can be used on dry skin AND on all hair types.<br><br>Please note that the product may vary from texture shown in the picture as each item is handcrafted in small batches.</p><p><br>Store somewhere cool and dry, this product is for external use only.</p><p>&nbsp;</p><p>&nbsp;</p>",a26d7a_a5bfadf0808542758e1dfec1e18c7d48~mv2.jpg;a26d7a_38c1d94ae1d54ea987cca5cfffd134f3~mv2.jpg;a26d7a_32cac739e3f2491fb8cdba0e23249865~mv2.jpg,Best Sellers;BODY BUTTER,0001,,8.5,,true,PERCENT,0.0,6,0.0,Size,DROP_DOWN,120ml;500ml,,,,,,,,,,,,,,,,Ingredients,"<p>Ingredients: Butyrospermum Parkii (Shea Butter),&nbsp; Theobroma Cacao Seed Butter (Cocoa Butter), Castor Oil, Jojoba Oil, Sweet Almond Oil, Rosemary &amp; YlangYlang Essential Oils.</p>
",Directions for use,"<p><u>Directions for body use:</u> After a shower or bath pat skin dry with a towel. Rub the cream between your palms and apply to skin.<br>
<br>
<u>Directions for hair use:</u> We recommend you spritz your hair with warm water first, rub the butter between your palms, and smooth and apply the product into your hair.</p>

<p>This product can also be used as a prepoo treatment and or oil treatment on split ends and dry hair. Simply follow the steps above before shampooing. For an extra deep conditioning element sit under a hooded dryer or put a plastic cap over hair for 20 minutes before washing out.</p>
",,,,,,,,,,,,,,
product_58b01707-d209-a73b-fa0b-8cf61adbfb1a,Variant,,,,,,,,0.0,true,,,0,,,,120ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_58b01707-d209-a73b-fa0b-8cf61adbfb1a,Variant,,,,,,,,17.49,true,,,0,,,,500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_93beead4-bb76-a470-22fb-bcab4b081fb1,Product,African Black Soap with Vitamin E Oil,"<p>African Black Soap is plant based and contains ingredients such as plantain skins, cocoa pods, and shea tree bark. Combined with coconut oil and shea butter to help treat and soothe skin. Ours is infused with Vitamin E Oil for it's extra moisturising and anti aging properties.</p><p>&nbsp;</p><p>Ingredients: Shea Butter, Coconut Oil, Vitamin E Oil, Elaeis Guneensis Oil, and Cocoa Pod Ash.</p>",a26d7a_0479e91d0a4840d88f19c759fde9a1b1~mv2.jpg;a26d7a_164a95ee5586474ab1584779cc4f30b9,Best Sellers;SOAP,,,5.99,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,Ingredients,"<p>Ingredients: Shea Butter, Coconut Oil, Vitamin E Oil, Elaeis Guneensis Oil, and Cocoa Pod Ash.</p>
",Directions for use,"<p>Run soap under water and rub until lather forms, using a sponge or your hands apply over face and or body.&nbsp;</p>

<p>After use store soap on dish or rack to allow soap to air dry.</p>

<p>This product is for external use only.</p>
",,,,,,,,,,,,,,
product_469c6a57-2762-8b70-82c1-9700350295b5,Product,Plantain & Oat Soap,"<p><strong>100% Vegan, Organic, Cruelty-Free</strong><br><br>Our beautiful Plantain and Oat soap is great for those with sensitive skin but still need a cleanser that is gentle in its ability to unclog pores. The oats and grounded dried plantain skin act as a gentle exfoliant which can aid in soothing skin and improving skin tone and texture. The high contents of shea butter ensure skin is mositurised and hydrated after use.<br><br>🌾Oats are a versatile grain that work well with all skin types as it is an anti-inflammatory, anti-oxidant, and very moisturising&nbsp;<br>🍌Plantain high in vitamins A &amp;E has been a staple for many years in African Black Soap making<br><br>******</p><p><br>Please note that the product may vary from texture shown in the picture as each item is handcrafted in small batches.<br><br>No artificial colours, paraben preservatives, petroleum, synthetic detergents, animal ingredients. Suitable for all skin types in paticular dry/sensitive skin</p><p>&nbsp;</p><p>This product is for external use only.<br>&nbsp;</p>",a26d7a_b6934595e1ae42988a49b159974502cc~mv2.jpg;a26d7a_d163baedf81a448fb4c8f76784fb227c~mv2.jpg,SOAP,,,6.99,,true,PERCENT,0.0,6,0.0,,,,,,,,,,,,,,,,,,,Ingredients,"<p>Saponfied using the cold-process method.<br>
Octyldodecyl Olivate (Olive Oil), Butyrospermum Parkii (Shea Butter), Hydrogenayed Coconut Oil, Daucus Carota Oil (Carrot Seed Oil), Vitamin E Oil, Plantain Pulp, Dried Gound Plantain Skin, Hydrolyzed Oats, Hydrolyzed&nbsp;Grounded Oats.</p>
",Directions for use,"<p>Run soap under water and rub until lather forms, using a sponge or your hands apply over face and or body.&nbsp;</p>

<p>After use store soap on dish or rack to allow soap to air dry.</p>

<p>This product is for external use only.</p>
",,,,,,,,,,,,,,
product_791324e5-5d63-a6e5-dc8a-ac054bad5212,Product,Coffee & Coconut Soap,"<p><strong>100% Vegan, Organic, Cruelty-Free</strong><br><br>Our creamy Coffee &amp; Coconut Soap is great for those with oily/combination skin. It works well to&nbsp;cleanse, nourish, and moisturise your face and body!<br><br>Coconut milk<br>Coffee<br><br>Please remove coffee bean before use as this is for decoration only.<br><br>******<br>Please note that the product may vary from texture shown in the picture as each item is handcrafted in small batches.<br><br>This product is not intended to treat, cure, or prevent any diesease. No artificial colours, paraben preservatives, petroleum, synthetic detergents, animal ingredients. Suitable for all skin types in paticular oliy/combination skin.<br><br>Store soap somewhere cool to drain and dry, this product is for external use only.<br>&nbsp;</p>",a26d7a_2ca6e65a8c9e479fb7a99d3f0c5163a1~mv2.jpg,SOAP,,,6.99,,true,PERCENT,0.0,2,0.0,,,,,,,,,,,,,,,,,,,Ingredients,"<p>Saponfied using the cold-process method.<br>
Octyldodecyl Olivate (Olive Oil), Castor Oil, Theobroma Cacao Seed Butter (Cocoa Butter), Coconut Oil, Sweet Almond Oil, Organic Coconut Milk, Organic Coffee Grounds.</p>
",Directions for use,"<p>Run soap under water and rub until lather forms, using a sponge or your hands apply over face and or body.&nbsp;</p>

<p>After use store soap on dish or rack to allow soap to air dry.</p>

<p>This product is for external use only.</p>
",,,,,,,,,,,,,,
product_4230ec57-07d3-00f2-2cfe-559dc80be5af,Product,Cookie Coffee Scrub Body Scrub,<p>Coming soon!</p>,a26d7a_d72a06f4306045f78465f49c54fcc0b8~mv2.jpg,SCRUB,,,6.99,,true,PERCENT,0.0,0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
