id,title,description,link,image_link,price,availability
MPCS,Mango & Pneapple Cream,"Our Vegan Mango & Pineapple Cream smells tropical and sweet, enriched with Mango Butter and Vitamin E It is light, creamy and highly moisturising",https://www.adeshabeauty.co.uk/product-page/mango-pineapple-cream,"https://static.wixstatic.com/media/a26d7a_186df432a3c74559910a6df4e808b5c4~mv2.jpg/v1/fill/w_1000,h_1334,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_186df432a3c74559910a6df4e808b5c4~mv2.webp",16.5,in stock
UHBBS,Universal Hair & Body Butter,"Our Universal Hair & Body Butter is a powerhouse which lives up to its name! This product is formulated with an intentional blend of soft shea butter mixed with organic plant and seed-based oils, hand selected for their contribution to healthy hair and glowing skin.",https://www.adeshabeauty.co.uk/product-page/universal-hair-body-butter,"https://static.wixstatic.com/media/a26d7a_a5bfadf0808542758e1dfec1e18c7d48~mv2.jpg/v1/fill/w_1000,h_1334,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_a5bfadf0808542758e1dfec1e18c7d48~mv2.webp",17.99,in stock
BDBL,Body Butter Bundle,Now you can purchase our popular vegan body butters in a set! Perfect as a gift or a little self care treat for yourself.,https://www.adeshabeauty.co.uk/product-page/body-butter-bundle,"https://static.wixstatic.com/media/a26d7a_ba23cf66e4e1409c97cdc5c062e7471c~mv2.jpg/v1/fill/w_1000,h_750,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_ba23cf66e4e1409c97cdc5c062e7471c~mv2.webp",29.99,in stock
CKCFS,Cookie Coffee Body Scrub,"ur natural organic whipped coffee scrub acts as a great exfoliant leaving skin hydrated, soft, and firm.",https://www.adeshabeauty.co.uk/product-page/cookie-coffee-scrub-body-scrub,"https://static.wixstatic.com/media/a26d7a_f2700eb38b984238b7cb4540f3150313~mv2.jpg/v1/fill/w_1000,h_1334,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_f2700eb38b984238b7cb4540f3150313~mv2.webp",18,in stock
CBT,100% Cotton Netted Body Towel,Our 100% cotton netted body towels are the perfect exfoliant when used with one of our vegan soaps__!,https://www.adeshabeauty.co.uk/product-page/100-cotton-netted-body-towel,"https://static.wixstatic.com/media/a26d7a_26d4d2311d3940769b6320574b528ffb~mv2.jpg/v1/fill/w_1000,h_1334,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_26d4d2311d3940769b6320574b528ffb~mv2.webp",5.99,in stock
ABS,African Black Soap with Vitamin E Oil,"African Black Soap is plant based and contains ingredients such as plantain skins, cocoa pods, and shea tree bark. Combined with coconut oil and shea butter to help treat and soothe skin. Ours is infused with Vitamin E Oil for it's extra moisturising and anti aging properties.",https://www.adeshabeauty.co.uk/product-page/african-black-soap-with-vitamin-e-oil,"https://static.wixstatic.com/media/a26d7a_0479e91d0a4840d88f19c759fde9a1b1~mv2.jpg/v1/fill/w_1000,h_666,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_0479e91d0a4840d88f19c759fde9a1b1~mv2.webp",6.99,in stock
PLTOAT,Plantain & Oat Soap,Our beautiful Plantain and Oat soap is great for those with sensitive skin but still need a cleanser that is gentle in its ability to unclog pores. The oats and grounded dried plantain skin act as a gentle exfoliant which can aid in soothing skin and improving skin tone and texture. The high contents of shea butter ensure skin is mositurised and hydrated after use.,https://www.adeshabeauty.co.uk/product-page/plantain-oat-soap,"https://static.wixstatic.com/media/a26d7a_b6934595e1ae42988a49b159974502cc~mv2.jpg/v1/fill/w_1000,h_1334,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_b6934595e1ae42988a49b159974502cc~mv2.webp",6.99,in stock
COFCO,Coffee & Coconut Soap," Our creamy Coffee & Coconut Soap is great for those with oily/combination skin. It works well to cleanse, nourish, and moisturise your face and body!",https://www.adeshabeauty.co.uk/product-page/coffee-coconut-soap-1,"https://static.wixstatic.com/media/a26d7a_28b76df1c1b24b28a7224961a791784f~mv2.jpg/v1/fill/w_1000,h_750,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_28b76df1c1b24b28a7224961a791784f~mv2.webp",6.99,in stock
BSBS,Bestseller Box Set,"Now you can purchase our bestsellers in a set! Perfect as a gift or a little self care treat for yourself. The Best Seller Box Set contains:

 

x1 Universal Hair & Body Butter

x1 Mango & Pineapple Cream

x1 African Black Soap with Vitamin E Oil

 

If this is a gift let us know and we'll add a note!___",https://www.adeshabeauty.co.uk/product-page/best-seller-box-set,"https://static.wixstatic.com/media/a26d7a_1ff93a479db6425d94d2ce438f384f20~mv2.jpg/v1/fill/w_1000,h_750,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_1ff93a479db6425d94d2ce438f384f20~mv2.webp",34.99,in stock
VLB,Vegan Lip Balm,Our vegan lip balms are packed full of nourishing butters and oils to keep lips hydrated for long periods of time. Available in 3 yummy flavours!,https://www.adeshabeauty.co.uk/product-page/vegan-lip-balm,"https://static.wixstatic.com/media/a26d7a_777c23b69bf349bd91b6f33a7c3507cd~mv2.jpg/v1/fill/w_1000,h_750,al_c,q_85,usm_0.66_1.00_0.01/a26d7a_777c23b69bf349bd91b6f33a7c3507cd~mv2.webp",8.5,out of stock
